Gene_ID	Gene_ID_new	ko	pathway
TRINITY_DN8695_c1_g1	10092	ko00190	Oxidative phosphorylation
TRINITY_DN8695_c1_g1	10092	ko00860	Porphyrin and chlorophyll metabolism
TRINITY_DN8695_c1_g1	10092	ko01100	Metabolic pathways
TRINITY_DN8695_c1_g1	10092	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN31832_c0_g1	5876	ko03013	RNA transport
TRINITY_DN80665_c0_g1	3483	ko03010	Ribosome
TRINITY_DN55882_c0_g1	12244	ko00510	N-Glycan biosynthesis
TRINITY_DN191991_c0_g1	12602	ko03010	Ribosome
TRINITY_DN30821_c0_g2	10800	ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
TRINITY_DN30821_c0_g2	10800	ko01100	Metabolic pathways
TRINITY_DN30821_c0_g1	10799	ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
TRINITY_DN30821_c0_g1	10799	ko01100	Metabolic pathways
TRINITY_DN27695_c0_g1	2032	ko00942	Anthocyanin biosynthesis
TRINITY_DN15510_c0_g1	1277	ko00230	Purine metabolism
TRINITY_DN15510_c0_g1	1277	ko00460	Cyanoamino acid metabolism
TRINITY_DN15510_c0_g1	1277	ko00500	Starch and sucrose metabolism
TRINITY_DN15510_c0_g1	1277	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN15510_c0_g1	1277	ko01100	Metabolic pathways
TRINITY_DN15510_c0_g1	1277	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN7747_c0_g2	5499	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN7747_c0_g2	5499	ko00040	Pentose and glucuronate interconversions
TRINITY_DN7747_c0_g2	5499	ko00051	Fructose and mannose metabolism
TRINITY_DN7747_c0_g2	5499	ko00052	Galactose metabolism
TRINITY_DN7747_c0_g2	5499	ko00561	Glycerolipid metabolism
TRINITY_DN7747_c0_g2	5499	ko00790	Folate biosynthesis
TRINITY_DN7747_c0_g2	5499	ko01100	Metabolic pathways
TRINITY_DN7747_c0_g2	5499	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN7747_c0_g1	5498	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN7747_c0_g1	5498	ko00040	Pentose and glucuronate interconversions
TRINITY_DN7747_c0_g1	5498	ko00051	Fructose and mannose metabolism
TRINITY_DN7747_c0_g1	5498	ko00052	Galactose metabolism
TRINITY_DN7747_c0_g1	5498	ko00561	Glycerolipid metabolism
TRINITY_DN7747_c0_g1	5498	ko00790	Folate biosynthesis
TRINITY_DN7747_c0_g1	5498	ko01100	Metabolic pathways
TRINITY_DN7747_c0_g1	5498	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN41699_c0_g1	5683	ko04016	MAPK signaling pathway - plant
TRINITY_DN41699_c0_g1	5683	ko04075	Plant hormone signal transduction
TRINITY_DN33440_c0_g1	5587	ko04136	Autophagy - other
TRINITY_DN5321_c0_g1	11599	ko04144	Endocytosis
TRINITY_DN96800_c0_g1	7844	ko00480	Glutathione metabolism
TRINITY_DN46138_c2_g1	10837	ko03013	RNA transport
TRINITY_DN9537_c0_g2	9966	ko03015	mRNA surveillance pathway
TRINITY_DN9537_c0_g2	9966	ko04136	Autophagy - other
TRINITY_DN64765_c0_g4	4563	ko01100	Metabolic pathways
TRINITY_DN64765_c0_g4	4563	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN31441_c0_g2	7443	ko04016	MAPK signaling pathway - plant
TRINITY_DN31441_c0_g2	7443	ko04075	Plant hormone signal transduction
TRINITY_DN31441_c0_g2	7443	ko04626	Plant-pathogen interaction
TRINITY_DN56170_c0_g1	5861	ko00052	Galactose metabolism
TRINITY_DN56170_c0_g1	5861	ko00500	Starch and sucrose metabolism
TRINITY_DN56170_c0_g1	5861	ko01100	Metabolic pathways
TRINITY_DN64765_c0_g2	4565	ko01100	Metabolic pathways
TRINITY_DN64765_c0_g2	4565	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN11800_c0_g1	3594	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN11800_c0_g1	3594	ko01100	Metabolic pathways
TRINITY_DN11800_c0_g1	3594	ko04016	MAPK signaling pathway - plant
TRINITY_DN93444_c0_g1	3981	ko03022	Basal transcription factors
TRINITY_DN29317_c0_g1	9198	ko03013	RNA transport
TRINITY_DN29317_c0_g1	9198	ko03015	mRNA surveillance pathway
TRINITY_DN70360_c0_g2	5138	ko00230	Purine metabolism
TRINITY_DN70360_c0_g2	5138	ko00240	Pyrimidine metabolism
TRINITY_DN70360_c0_g2	5138	ko00480	Glutathione metabolism
TRINITY_DN70360_c0_g2	5138	ko01100	Metabolic pathways
TRINITY_DN805_c0_g1	1341	ko03018	RNA degradation
TRINITY_DN805_c0_g2	1342	ko03018	RNA degradation
TRINITY_DN805_c0_g3	1343	ko03018	RNA degradation
TRINITY_DN648_c2_g1	3456	ko00904	Diterpenoid biosynthesis
TRINITY_DN648_c2_g1	3456	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN103_c0_g2	7660	ko04016	MAPK signaling pathway - plant
TRINITY_DN103_c0_g2	7660	ko04075	Plant hormone signal transduction
TRINITY_DN103_c0_g1	7659	ko04016	MAPK signaling pathway - plant
TRINITY_DN103_c0_g1	7659	ko04075	Plant hormone signal transduction
TRINITY_DN21466_c0_g1	17	ko00100	Steroid biosynthesis
TRINITY_DN21466_c0_g1	17	ko01100	Metabolic pathways
TRINITY_DN21466_c0_g1	17	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN37817_c0_g1	75	ko00480	Glutathione metabolism
TRINITY_DN5017_c0_g1	10631	ko00190	Oxidative phosphorylation
TRINITY_DN5017_c0_g1	10631	ko01100	Metabolic pathways
TRINITY_DN28444_c0_g1	9291	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
TRINITY_DN28444_c0_g1	9291	ko01100	Metabolic pathways
TRINITY_DN28444_c0_g1	9291	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN28444_c0_g1	9291	ko01230	Biosynthesis of amino acids
TRINITY_DN68526_c0_g1	9870	ko03013	RNA transport
TRINITY_DN32489_c0_g1	10384	ko00052	Galactose metabolism
TRINITY_DN310_c0_g1	10305	ko04144	Endocytosis
TRINITY_DN310_c0_g3	10307	ko04144	Endocytosis
TRINITY_DN49411_c0_g1	2533	ko00941	Flavonoid biosynthesis
TRINITY_DN49411_c0_g1	2533	ko01100	Metabolic pathways
TRINITY_DN49411_c0_g1	2533	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN49411_c0_g1	2533	ko04712	Circadian rhythm - plant
TRINITY_DN10788_c0_g1	5282	ko00480	Glutathione metabolism
TRINITY_DN16664_c0_g1	11718	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
TRINITY_DN16664_c0_g1	11718	ko01100	Metabolic pathways
TRINITY_DN16664_c0_g1	11718	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN16664_c0_g1	11718	ko01230	Biosynthesis of amino acids
TRINITY_DN29546_c0_g1	12271	ko03050	Proteasome
TRINITY_DN2311_c0_g3	6200	ko00190	Oxidative phosphorylation
TRINITY_DN2311_c0_g3	6200	ko01100	Metabolic pathways
TRINITY_DN2311_c0_g3	6200	ko04145	Phagosome
TRINITY_DN6089_c0_g1	1210	ko00196	Photosynthesis - antenna proteins
TRINITY_DN6089_c0_g1	1210	ko01100	Metabolic pathways
TRINITY_DN6484_c0_g1	9427	ko04016	MAPK signaling pathway - plant
TRINITY_DN6484_c0_g1	9427	ko04626	Plant-pathogen interaction
TRINITY_DN6089_c0_g2	1211	ko00196	Photosynthesis - antenna proteins
TRINITY_DN6089_c0_g2	1211	ko01100	Metabolic pathways
TRINITY_DN6889_c0_g2	5603	ko00061	Fatty acid biosynthesis
TRINITY_DN6889_c0_g2	5603	ko00071	Fatty acid degradation
TRINITY_DN6889_c0_g2	5603	ko01100	Metabolic pathways
TRINITY_DN6889_c0_g2	5603	ko01212	Fatty acid metabolism
TRINITY_DN6889_c0_g2	5603	ko04146	Peroxisome
TRINITY_DN931_c0_g1	8678	ko00860	Porphyrin and chlorophyll metabolism
TRINITY_DN931_c0_g1	8678	ko01100	Metabolic pathways
TRINITY_DN931_c0_g1	8678	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN25104_c0_g1	5433	ko00190	Oxidative phosphorylation
TRINITY_DN25104_c0_g1	5433	ko01100	Metabolic pathways
TRINITY_DN931_c0_g3	8679	ko00860	Porphyrin and chlorophyll metabolism
TRINITY_DN931_c0_g3	8679	ko01100	Metabolic pathways
TRINITY_DN931_c0_g3	8679	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN39429_c0_g1	12086	ko00230	Purine metabolism
TRINITY_DN39429_c0_g1	12086	ko00240	Pyrimidine metabolism
TRINITY_DN39429_c0_g1	12086	ko01100	Metabolic pathways
TRINITY_DN2445_c5_g1	9064	ko00561	Glycerolipid metabolism
TRINITY_DN2445_c5_g1	9064	ko00564	Glycerophospholipid metabolism
TRINITY_DN2445_c5_g1	9064	ko01100	Metabolic pathways
TRINITY_DN2445_c5_g1	9064	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN2445_c5_g1	9064	ko04070	Phosphatidylinositol signaling system
TRINITY_DN467_c0_g1	805	ko03410	Base excision repair
TRINITY_DN1668_c2_g1	11991	ko00270	Cysteine and methionine metabolism
TRINITY_DN1668_c2_g1	11991	ko01100	Metabolic pathways
TRINITY_DN1668_c2_g1	11991	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN1668_c2_g1	11991	ko01230	Biosynthesis of amino acids
TRINITY_DN37755_c0_g1	4851	ko00350	Tyrosine metabolism
TRINITY_DN37755_c0_g1	4851	ko00950	Isoquinoline alkaloid biosynthesis
TRINITY_DN37755_c0_g1	4851	ko01100	Metabolic pathways
TRINITY_DN37755_c0_g1	4851	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN2561_c0_g1	4388	ko03010	Ribosome
TRINITY_DN7426_c0_g1	4687	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
TRINITY_DN7426_c0_g1	4687	ko01100	Metabolic pathways
TRINITY_DN7426_c0_g1	4687	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN7426_c0_g1	4687	ko01230	Biosynthesis of amino acids
TRINITY_DN80301_c0_g1	174	ko00190	Oxidative phosphorylation
TRINITY_DN80301_c0_g1	174	ko01100	Metabolic pathways
TRINITY_DN80301_c0_g1	174	ko04145	Phagosome
TRINITY_DN5104_c0_g1	1393	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN42523_c0_g1	1031	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN42523_c0_g1	1031	ko01100	Metabolic pathways
TRINITY_DN42523_c0_g1	1031	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN61484_c0_g1	553	ko00061	Fatty acid biosynthesis
TRINITY_DN61484_c0_g1	553	ko00620	Pyruvate metabolism
TRINITY_DN61484_c0_g1	553	ko00640	Propanoate metabolism
TRINITY_DN61484_c0_g1	553	ko01100	Metabolic pathways
TRINITY_DN61484_c0_g1	553	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN61484_c0_g1	553	ko01212	Fatty acid metabolism
TRINITY_DN51500_c0_g1	5442	ko00900	Terpenoid backbone biosynthesis
TRINITY_DN51500_c0_g1	5442	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN60001_c1_g1	11622	ko04075	Plant hormone signal transduction
TRINITY_DN3230_c0_g1	6084	ko04144	Endocytosis
TRINITY_DN1480_c0_g1	6290	ko02010	ABC transporters
TRINITY_DN13301_c0_g2	7616	ko00906	Carotenoid biosynthesis
TRINITY_DN13301_c0_g2	7616	ko01100	Metabolic pathways
TRINITY_DN13301_c0_g2	7616	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN43533_c0_g2	8492	ko03015	mRNA surveillance pathway
TRINITY_DN20822_c0_g3	7941	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN20822_c0_g2	7940	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN255032_c0_g1	13529	ko03022	Basal transcription factors
TRINITY_DN25646_c0_g1	3988	ko00562	Inositol phosphate metabolism
TRINITY_DN25646_c0_g1	3988	ko01100	Metabolic pathways
TRINITY_DN25646_c0_g1	3988	ko04070	Phosphatidylinositol signaling system
TRINITY_DN20866_c0_g1	7959	ko03060	Protein export
TRINITY_DN20866_c0_g1	7959	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN20866_c0_g1	7959	ko04145	Phagosome
TRINITY_DN20003_c0_g2	11218	ko03030	DNA replication
TRINITY_DN20003_c0_g2	11218	ko03420	Nucleotide excision repair
TRINITY_DN20003_c0_g2	11218	ko03430	Mismatch repair
TRINITY_DN20003_c0_g2	11218	ko03440	Homologous recombination
TRINITY_DN79107_c0_g1	9340	ko00941	Flavonoid biosynthesis
TRINITY_DN79107_c0_g1	9340	ko01100	Metabolic pathways
TRINITY_DN79107_c0_g1	9340	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN20003_c0_g1	11217	ko03030	DNA replication
TRINITY_DN20003_c0_g1	11217	ko03420	Nucleotide excision repair
TRINITY_DN20003_c0_g1	11217	ko03430	Mismatch repair
TRINITY_DN20003_c0_g1	11217	ko03440	Homologous recombination
TRINITY_DN22930_c0_g1	1598	ko00052	Galactose metabolism
TRINITY_DN19238_c1_g1	6466	ko00195	Photosynthesis
TRINITY_DN149361_c0_g1	13107	ko00061	Fatty acid biosynthesis
TRINITY_DN149361_c0_g1	13107	ko00620	Pyruvate metabolism
TRINITY_DN149361_c0_g1	13107	ko00640	Propanoate metabolism
TRINITY_DN149361_c0_g1	13107	ko01100	Metabolic pathways
TRINITY_DN149361_c0_g1	13107	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN149361_c0_g1	13107	ko01212	Fatty acid metabolism
TRINITY_DN10723_c0_g1	5270	ko03030	DNA replication
TRINITY_DN10723_c0_g1	5270	ko03420	Nucleotide excision repair
TRINITY_DN10723_c0_g1	5270	ko03430	Mismatch repair
TRINITY_DN10723_c0_g1	5270	ko03440	Homologous recombination
TRINITY_DN9524_c0_g2	9964	ko01100	Metabolic pathways
TRINITY_DN10723_c0_g2	5271	ko03030	DNA replication
TRINITY_DN10723_c0_g2	5271	ko03420	Nucleotide excision repair
TRINITY_DN10723_c0_g2	5271	ko03430	Mismatch repair
TRINITY_DN10723_c0_g2	5271	ko03440	Homologous recombination
TRINITY_DN18248_c0_g1	11309	ko00564	Glycerophospholipid metabolism
TRINITY_DN18248_c0_g1	11309	ko00565	Ether lipid metabolism
TRINITY_DN18248_c0_g1	11309	ko01100	Metabolic pathways
TRINITY_DN18248_c0_g1	11309	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN18248_c0_g1	11309	ko04144	Endocytosis
TRINITY_DN16922_c0_g1	2499	ko00500	Starch and sucrose metabolism
TRINITY_DN10528_c0_g1	9807	ko04626	Plant-pathogen interaction
TRINITY_DN163256_c0_g1	12817	ko04626	Plant-pathogen interaction
TRINITY_DN36815_c0_g1	4969	ko00052	Galactose metabolism
TRINITY_DN32248_c0_g3	7298	ko00240	Pyrimidine metabolism
TRINITY_DN32248_c0_g3	7298	ko00760	Nicotinate and nicotinamide metabolism
TRINITY_DN145330_c1_g1	12918	ko03013	RNA transport
TRINITY_DN39106_c0_g1	8976	ko00564	Glycerophospholipid metabolism
TRINITY_DN162519_c0_g1	13120	ko03013	RNA transport
TRINITY_DN59148_c0_g1	6898	ko03050	Proteasome
TRINITY_DN30455_c1_g1	12304	ko00040	Pentose and glucuronate interconversions
TRINITY_DN30455_c1_g1	12304	ko01100	Metabolic pathways
TRINITY_DN6282_c0_g1	11490	ko00190	Oxidative phosphorylation
TRINITY_DN6282_c0_g1	11490	ko01100	Metabolic pathways
TRINITY_DN6282_c0_g1	11490	ko04145	Phagosome
TRINITY_DN8501_c0_g1	2617	ko03050	Proteasome
TRINITY_DN6535_c0_g1	4801	ko04712	Circadian rhythm - plant
TRINITY_DN18769_c0_g1	9748	ko03060	Protein export
TRINITY_DN3090_c2_g2	8041	ko00908	Zeatin biosynthesis
TRINITY_DN3090_c2_g2	8041	ko01100	Metabolic pathways
TRINITY_DN3090_c2_g2	8041	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN3090_c2_g3	8042	ko00905	Brassinosteroid biosynthesis
TRINITY_DN11146_c0_g1	6657	ko00590	Arachidonic acid metabolism
TRINITY_DN11146_c0_g1	6657	ko01100	Metabolic pathways
TRINITY_DN3370_c0_g3	8959	ko03018	RNA degradation
TRINITY_DN3370_c0_g2	8958	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN11945_c0_g1	3658	ko00073	Cutin, suberine and wax biosynthesis
TRINITY_DN11945_c0_g1	3658	ko04146	Peroxisome
TRINITY_DN11945_c0_g2	3659	ko00073	Cutin, suberine and wax biosynthesis
TRINITY_DN11945_c0_g2	3659	ko04146	Peroxisome
TRINITY_DN199741_c0_g1	13136	ko04626	Plant-pathogen interaction
TRINITY_DN62341_c0_g1	7960	ko00970	Aminoacyl-tRNA biosynthesis
TRINITY_DN7627_c0_g1	2727	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN7627_c0_g1	2727	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN7627_c0_g2	2728	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN7627_c0_g2	2728	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN11466_c0_g1	5003	ko00970	Aminoacyl-tRNA biosynthesis
TRINITY_DN119844_c0_g1	13115	ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
TRINITY_DN119844_c0_g1	13115	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN11722_c1_g1	7982	ko04016	MAPK signaling pathway - plant
TRINITY_DN11722_c1_g1	7982	ko04075	Plant hormone signal transduction
TRINITY_DN5671_c0_g2	53	ko03060	Protein export
TRINITY_DN5671_c0_g1	52	ko03060	Protein export
TRINITY_DN6015_c0_g1	1229	ko04146	Peroxisome
TRINITY_DN7047_c0_g1	8604	ko00511	Other glycan degradation
TRINITY_DN7047_c0_g1	8604	ko00600	Sphingolipid metabolism
TRINITY_DN7047_c0_g1	8604	ko01100	Metabolic pathways
TRINITY_DN34294_c0_g1	5405	ko04144	Endocytosis
TRINITY_DN3310_c0_g2	8971	ko00561	Glycerolipid metabolism
TRINITY_DN3310_c0_g2	8971	ko00564	Glycerophospholipid metabolism
TRINITY_DN3310_c0_g2	8971	ko01100	Metabolic pathways
TRINITY_DN3310_c0_g2	8971	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN12743_c1_g2	3398	ko03050	Proteasome
TRINITY_DN12743_c1_g1	3399	ko03050	Proteasome
TRINITY_DN61858_c0_g1	11324	ko00500	Starch and sucrose metabolism
TRINITY_DN61858_c0_g1	11324	ko01100	Metabolic pathways
TRINITY_DN160789_c0_g1	12670	ko00220	Arginine biosynthesis
TRINITY_DN160789_c0_g1	12670	ko00250	Alanine, aspartate and glutamate metabolism
TRINITY_DN160789_c0_g1	12670	ko00910	Nitrogen metabolism
TRINITY_DN160789_c0_g1	12670	ko01100	Metabolic pathways
TRINITY_DN130475_c0_g1	13038	ko01100	Metabolic pathways
TRINITY_DN7813_c0_g1	877	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN7813_c0_g1	877	ko01100	Metabolic pathways
TRINITY_DN7813_c0_g1	877	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN16557_c0_g1	4027	ko04075	Plant hormone signal transduction
TRINITY_DN2278_c0_g2	11072	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN42473_c0_g1	5491	ko02010	ABC transporters
TRINITY_DN37221_c0_g1	6250	ko04075	Plant hormone signal transduction
TRINITY_DN16479_c0_g1	8711	ko00561	Glycerolipid metabolism
TRINITY_DN16479_c0_g1	8711	ko00564	Glycerophospholipid metabolism
TRINITY_DN16479_c0_g1	8711	ko01100	Metabolic pathways
TRINITY_DN16479_c0_g1	8711	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN209846_c0_g1	13497	ko03010	Ribosome
TRINITY_DN12015_c0_g1	1902	ko04136	Autophagy - other
TRINITY_DN48846_c0_g2	10401	ko03013	RNA transport
TRINITY_DN48846_c0_g2	10401	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN1316_c0_g1	11176	ko03015	mRNA surveillance pathway
TRINITY_DN42660_c0_g1	1073	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN42660_c0_g1	1073	ko03013	RNA transport
TRINITY_DN43240_c0_g1	5376	ko02010	ABC transporters
TRINITY_DN973_c0_g1	8667	ko00196	Photosynthesis - antenna proteins
TRINITY_DN973_c0_g1	8667	ko01100	Metabolic pathways
TRINITY_DN3700_c3_g2	5089	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN3700_c3_g2	5089	ko01100	Metabolic pathways
TRINITY_DN2925_c0_g1	467	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN45508_c0_g1	6441	ko04144	Endocytosis
TRINITY_DN29505_c0_g1	12266	ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
TRINITY_DN24278_c0_g2	10275	ko03013	RNA transport
TRINITY_DN24278_c0_g1	10274	ko03013	RNA transport
TRINITY_DN1285_c0_g1	8373	ko00052	Galactose metabolism
TRINITY_DN96953_c0_g1	3415	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN96953_c0_g1	3415	ko00941	Flavonoid biosynthesis
TRINITY_DN96953_c0_g1	3415	ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
TRINITY_DN96953_c0_g1	3415	ko01100	Metabolic pathways
TRINITY_DN96953_c0_g1	3415	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN1525_c0_g1	9110	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN1525_c0_g1	9110	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN16942_c1_g1	2483	ko04016	MAPK signaling pathway - plant
TRINITY_DN16942_c1_g1	2483	ko04075	Plant hormone signal transduction
TRINITY_DN2825_c0_g1	5223	ko00240	Pyrimidine metabolism
TRINITY_DN2825_c0_g1	5223	ko00410	beta-Alanine metabolism
TRINITY_DN2825_c0_g1	5223	ko00770	Pantothenate and CoA biosynthesis
TRINITY_DN2825_c0_g1	5223	ko01100	Metabolic pathways
TRINITY_DN65927_c0_g1	2817	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN16279_c1_g1	1066	ko00941	Flavonoid biosynthesis
TRINITY_DN16279_c1_g1	1066	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN11790_c0_g1	7978	ko00040	Pentose and glucuronate interconversions
TRINITY_DN11790_c0_g1	7978	ko01100	Metabolic pathways
TRINITY_DN30275_c0_g1	9231	ko04075	Plant hormone signal transduction
